text,label,label_name
My cat eye glasses came in the mail today so I'm officially ready to start librarian school.,not-sarcastic,0
Just wanna exaggerate that I would die for David Attenborough,not-sarcastic,0
"Heard a rumor that Baja Blast is coming to stores and regardless if anything else I hope for in life falls through, at least I'll have this.",sarcastic,1
Miley Cyrus singing Jolene is easily one of my favourite things in the world 😌,not-sarcastic,0
Whenever I see a big truck I automatically assume they’re most likely conservative &amp; racist,not-sarcastic,0
why do david dobrik &amp; ben platt give off the same energy,not-sarcastic,0
Honestly this weather is the best birthday present I could ever receive,not-sarcastic,0
did you know there is a direct correlation with how cool someone is and how high they cuff their pants?,sarcastic,1
I love when I start choking on my water in my 8 person class,sarcastic,1
I had a dream last night that a talking snake was trying to kill me with a bow and arrow. I don’t know how that would work but just a little insight into what goes on in my brain.,not-sarcastic,0
Just tried to eat soup with my mask on #fail #Masks,not-sarcastic,0
Cast member: “I wish I was in the musical before this year. I’ve never done anything at school before and now I feel more confident and I think I want to do a spring sport now too.” THIS. This is why I love directing HS theatre. It’s about so much more than performing. ❤️,not-sarcastic,0
I’ve rediscovered Kylie Minogue and honestly she’s got me through the first week of 2021,not-sarcastic,0
Class being canceled occasionally is always nice but 4 in one week feels like an early Christmas miracle 😳🤗🎄,not-sarcastic,0
just letting everyone know that iceland deserved to win,not-sarcastic,0
@waitrose yet again breaking the UK formula marketing rules. Please educate your staff. @babymilkaction https://t.co/KIs8Qr6ojw,not-sarcastic,0
I applied to 2 different apartments today. I MOVE ACROSS THE COUNTRY IN 2 MONTHS! Wow. Dreams do come true.,not-sarcastic,0
I forgot how much the notebook makes me cry everytime. Now I’m sitting here on a Friday night with puffy red eyes and im super emotional,not-sarcastic,0
"Maternal Morality is so much higher in the US than any other country in the world, even higher for black women. It is time to put research into women's health!",not-sarcastic,0
"Amazing show last night from @TheMovielifeNYC (w/ special guest @brettromnes!) - thanks @vinniecaruana, @BrandonReilly and Navetta Bros. !",not-sarcastic,0
the Bob Ross documentary broke my heart i am so angry,not-sarcastic,0
"bye Obama, luv u",not-sarcastic,0
watching the sopranos is neat. the overarching theme of characters dealing with the dissonance of real life vs nostalgia/popular entertainment portrayals of the mob is engaging. also fun watching said badass mobsters dealing with the monotony of suburbia.,not-sarcastic,0
I can’t imagine being a POC in America right now- seeing the epitome of white privilege as this people with guns storm into a government building &amp; yet are not being tear gassed or shot at.,not-sarcastic,0
"@VolphanCarol @littlewhitty @mysticalmanatee I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",sarcastic,1
"My boys Sam &amp; Ben Haigh (8, 4) are huge fans of yours and would like to wish you a happy birthday all the way from England, ps cant wait to try the colour challenge with the boys during lockdown great ideas to keep them busy ! x @Preston",not-sarcastic,0
"My official ranking of holidays: 
1. Halloween 
2. Valentine's Day
3. New Year's Eve
3.5. New Year's Day
That's it, folks",not-sarcastic,0
@rits_meg @freedomsenpai hot loli,sarcastic,1
"Vaccine dose 1. Thank you, science.",not-sarcastic,0
Put myself on a book ban since I've bought over 750 books this year so far.. and I'm already itching whenever I pass a bookshop. I have more than enough to read until I'm 45!,not-sarcastic,0
virgos are leos in a vest,sarcastic,1
"what if the next iteration of onlyfans was run by women?

ceo: @natalinanoel
investors: @BLACCHYNA @iamcardib @miakhalifa @PrincessPiaMia @CorinnaKopf @tanamongeau @HelloImLana
software engineers (sry if incorrect terminology): @codergirl__  @sashacodes
marketing: @ModGirlMktg https://t.co/7lEBt3KNF5",not-sarcastic,0
Being able to open all of the windows today because it’s warm makes me so 🥺🥺🥺,not-sarcastic,0
"If I invite you over for dinner, it’s my intentions of paying and making everything as my gift to you as my guest",not-sarcastic,0
"back in the office. Everybody asks me, ""Happy to be back?"" I chuckle and reply, ""No. I'd much rather be surrounded by tourists than idiots.""",not-sarcastic,0
I’m ready for Lockdown #2. I need to make better bread.,not-sarcastic,0
When you get woken up at 3am because of aftershocks from an earthquake 👍😩,sarcastic,1
folklore is not a happy album are you all stupid,not-sarcastic,0
"might just not wear glasses when i leave the house more often,,, i’m just in a blur and it’s so much more relaxing than seeing everyone",not-sarcastic,0
@Savoy_Notts Do we have to book online or can we buy tickets when we get there? The website won't accept my meerkat code.,not-sarcastic,0
Just booked tickets for Santa’s Grotto for the kids. Organisation is key 🙋🏻‍♀️,not-sarcastic,0
I love the rain but gimme some thunder storms 😈,not-sarcastic,0
I’m really looking forward to not hugging my friends and family through choice rather than by law.,sarcastic,1
"Just finished Shang-Chi with @glitch031 

Best MCU movie.",not-sarcastic,0
imagine being able to sleep haha can’t relate,sarcastic,1
"@AsdaServiceTeam imagine your delivery being 2 hours late, and imagine calling up your service team only for them to hang up at 10pm, coincidentally the same time the office closes. But it’s okay, my £3 delivery fee is being refunded though 👊🏻",sarcastic,1
"Reporting on this ceasefire makes it sound like both sides agreed to stop the violence. But you don't get to call a T.O. when you're getting chased down by a leopard. This ""ceasefire"" is just Israel saying it'll pause its ethnic cleansing for a little while.",not-sarcastic,0
"How I flirt with boys 

Boy: “Hey I saw you from across the room and had to come over”

Me: “Wow you’re super observant. Do you have 20/20 vision?”",sarcastic,1
"I've made a roommate complain tweet every day, and he's done another thing, but I'm tired of negativity so I'm gonna list all the things I like about him! 

Here they are:",sarcastic,1
@CarlJamesFowler All time favourite.,not-sarcastic,0
Sometimes I forget giraffes exist 😳 I meannnnn... wtf is they,not-sarcastic,0
ive been watching british streamers for too long. i caught myself saying aircon instead of AC,not-sarcastic,0
"I’ve watched 2 films this weekend so far, both excellent. The Mauritanian - how good is Tahar Rahim! - and the Brian Wilson biopic Love and Mercy",not-sarcastic,0
"The #PostOffice KNEW there were bugs in the system! ""Not remotely reliable"". Innocent lives were completely ruined and SOMEONE is to blame. Not fit for purpose. An utter disgrace. I'm oddly livid over this  #bbcpn",not-sarcastic,0
can we have a bit of a strong cold breeze please,not-sarcastic,0
people who hate the snow give off the same energy as people who hate cats,not-sarcastic,0
@humorandanimals There is nothing better on this earth than animals!,not-sarcastic,0
I’m done being replaceable to my “friends”,not-sarcastic,0
it’s so boring to not have a crush on anybody,not-sarcastic,0
"Why do people keep posting TikToks with their HEADPHONE WIRES ALL KNOTTED????? I CAN NOT COPE WITH THIS, why wouldn’t you sort out that wirey mess pls🥺🥺",not-sarcastic,0
Loving how much #narcissism and it's intra- and interpersonal aspects are playing out in #Lokiepisode2 #Disney #Marvel,not-sarcastic,0
i’m gonna get a boob job so i call myself a customizable doll,sarcastic,1
was not aware that Crocs were appropriate business casual attire.,sarcastic,1
i was debating whether or not i should mute someone whose tweets constantly piss me off but now that twitter is introducing anonymous dislikes i’m gonna turn their post notifs on,not-sarcastic,0
How to access alternate characters on the iPad https://t.co/caXzywahm3 via @niktronix,not-sarcastic,0
dogs and cats are happy animals. i pity anyone who cannot love upon these magical creatured because of allergies. only heathens dislike them. i cannot be a part of a friendship where the alternate person has even the slightest disinterest in them.,not-sarcastic,0
Not at all concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping,sarcastic,1
How about Trump taking credit for freeing Alice Johnson when we all know it was @KimKardashian that facilitated that. #kkw2022,not-sarcastic,0
It’s a great feeling knowing that I receive the rarest form of love on a daily … ✨UNCONDITIONAL LOVE✨ is something most people never get to experience so i cherish this blessing that God has given me because He came at the RIGHT TIME 🥳🤍  #3yearsdown #BlackLove,not-sarcastic,0
I’m waiting for this yt at work to just just hit me so I can hit him back,not-sarcastic,0
can i get a yeet yeEt for anxiety?,not-sarcastic,0
I’m finally surfacing after a holiday to Scotland and a difficult few days with an ill child (hopefully on the mend now). Happy September all! Smell the pencil shavings and that new notebook aroma. 1st Sept has always seemed a lot more promising than 1st January,not-sarcastic,0
days before rodeo is Travis Scott's best project,not-sarcastic,0
"This isn’t good, only a few days in of self isolation and I’m already noticing a  decrease in WiFi speed 😅📡",not-sarcastic,0
https://t.co/CHowAGeBsc This review says most everything I think about Teeman's sloppily-argued sexual biography of Gore Vidal.,not-sarcastic,0
our waitress at dinner tonight complimented my muscles so i guess you could say i’ve made it,not-sarcastic,0
i want to go to kings island again before summer is over,not-sarcastic,0
@Joelxclusive Have seen better acting on Casualty 🙈,not-sarcastic,0
I wonder if it's too late for me to re-enroll in University and relive it all just one last time.,not-sarcastic,0
Is it unreasonable to spend £50 on a bonsai tree? Asking for a friend 🤔,sarcastic,1
"ERNEST LAWRENCE’S 60-INCH cyclotron in Berkeley 
**NOT CLICKBAIT**",not-sarcastic,0
i heard marvins room again so naturally i just went ahead and made a whole breakup playlist,not-sarcastic,0
Hot showers hit way harder in cold weather than in the summertime,not-sarcastic,0
"attack on Titan I’m not ok

Saw a few leaks on purpose bc I like to torture myself and I’ll wait to read the whole chapter tomorrow but oh my god oh my god I’m hurting",not-sarcastic,0
@rickyberwick And you said Donald trump was racist 😑,sarcastic,1
Life is about eating chicken finger and getting drunk,sarcastic,1
i just wanna move to italy already,not-sarcastic,0
God I really hope Etsy sellers can’t see the names of the lists I add their products to,not-sarcastic,0
Surely I’m not the only one who was disappointed by that ending... #Bodyguard,not-sarcastic,0
just got a jalapeno seed in my eye... it was the worst pain I've ever felt but thank God for me being a biologist/chemist &amp; not being afraid to put my eye under water,not-sarcastic,0
"""your pronouns are what's in your pants"" ok. juicy/dumper",sarcastic,1
"Instead of letting me get to know you, just slide over your amazon order history so i can really capture what kind of person you are",not-sarcastic,0
"Mad how a bit of fake tan makes you feel like a new person. Like a more confident, bronzed person 👸🏻",not-sarcastic,0
I hate that I wasted my whole weekend 😠,not-sarcastic,0
"Spiritfarer is so good, I bought it several months ago but finally started it tonight #gamer",not-sarcastic,0
Only want someone who loves dancing just as much as I do,not-sarcastic,0
@PONOS_EN Tankful for my 20+90 Tank Cat,not-sarcastic,0
Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,sarcastic,1
#FederervsDjokovic intense!  What a match!,not-sarcastic,0
"So I have an exam tomorrow, but likeee if the country is about to turn into a war zone does it really matter??",sarcastic,1
"me: :(
me after eating one blueberry: :)",not-sarcastic,0
@Mike_Fabricant This aged well,sarcastic,1
Accidentally made a friend in ASL today. I hate when that happens.,sarcastic,1
i have till morning to have written 6000 words and all i can do is listen to tiktok sounds!,not-sarcastic,0
"Bruh how do people manage dozens of healthy, fun and equitable friendships over a long period of time? I can hardly handle like 3 😖",not-sarcastic,0
Please showcase Hanahs story. The dog who was ripped form her mothers arms in the Joplin tornado. Let's bring her HOME!@TheEllenShow,not-sarcastic,0
Just finished Different for Girls / Just for One Day by @ReaLouisewener (not sure which title she prefers) &amp; loved it. Bittersweet &amp; funny.,not-sarcastic,0
God never fails and he certainly never forgets about us. So trust in Him in all that you do!,not-sarcastic,0
Hey what's the weather like today? Am I going to need an umbrella?,sarcastic,1
shang chi meant so fucking much to me. i can hardly imagine what it meant to others.,not-sarcastic,0
This thunder is making me so home sick for WI 🥺 Thunder storms were my favorite part of summer and i will never forget the beauty lighting arcing horizontally across the sky over Lake Michigan,not-sarcastic,0
"If the COVID variants make its way to the letter ‘I’ it’ll be called the India variant, but the Indian variant will be the Delta variant. When we get to Yankee and Zulu it’s gonna be very confusing",not-sarcastic,0
"Waiting for little one to fall asleep so o can sneak upstairs and get my hot water bottle.

She's sitting up in bed practicing her nodding 🙈",not-sarcastic,0
pay it forward is honestly one of the worst movies I've ever seen why would would anyone make an ending so sad I've been crying for 30 min,sarcastic,1
so like does anyone even remember what happened in september,not-sarcastic,0
@KhoaVuUmn Reviewer 2: this is a very weak paper that fails proof of concept. Stating a cat bed is also a wizard's hat is totally wrong and your data cannot support this,sarcastic,1
"Man-spider. The story of a spider who's bitten by a human and now has the powers of a human. Working in an office, wasting money on artisan coffee, and giving up his bus seat to a woman who turns out not to be pregnant, but just ""likes sandwiches you a-h*le"".
#IntoTheSpiderVerse",sarcastic,1
"We have changed our name on here to keep family from finding us, we are still didivination just look different.",not-sarcastic,0
man I really hate seeing two fucking idiots raising a baby,not-sarcastic,0
That is absolutely disgusting 🤮,not-sarcastic,0
"Anyone at @wembleystadium for @fleetwoodmac and think the sound is crap? Paid a fortune for this, sort it out! #wembleystadium #fleetwoodmac",not-sarcastic,0
#reputation is everything I needed before this 13.5 hour flight.,not-sarcastic,0
i still can't believe maisie and i are seeing marianas trench  heaven truly is a place on earth,not-sarcastic,0
"HOT TAKE: Can we stop romanticizing the grind? 

Yes there is value in hard work and determination. However, it is NOT HEALTHY to work yourself until you can hardly function as a human being.

There’s a big difference here.",not-sarcastic,0
Beautiful animation and hype song what more could be asked for https://t.co/PFLLswgkh3,not-sarcastic,0
i’m not gonna be here for lisa’s release cos i’m old and tired but good luck lisa i know it’s gonna be so amazing and i’ll listen as soon as i wake up,not-sarcastic,0
Herbert’s vision is elite #Hokies,not-sarcastic,0
"Wish I was the bitch that Elijah hewson fucking hated, sad :(",sarcastic,1
"Just poured boiling water all over my cereal instead of into my tea cup, gonna be a long day this.",not-sarcastic,0
"Don’t be too hard on yourself, forgive yaself for applying to much pressure and not leading with grace.",not-sarcastic,0
i’m now reading 4 books at once what could go wrong 🧡,sarcastic,1
it takes 2 minutes for me to paint my nails so sometimes i do it impulsively and then sit there looking at my hands like fuck i have things to do rn,not-sarcastic,0
i love my friends,not-sarcastic,0
Come on Tom Ford! #snooker #WelshOpen,not-sarcastic,0
"TW: suicide 

I got on @topviewnyc just before the Empire State Building stop and the only fact the *cheerful* recorded voice gave us was how many people have died jumping off of the building. Then an awful cover of “Welcome to New York” started playing

0/10 would not recommend",not-sarcastic,0
i will fully support whoever the democratic nominee is. however. the “bernie bro’s” are some of the most stubborn democrats/progressives out there. seriously just get over yourself. stop bashing candidates who aren’t even in the race anymore.,not-sarcastic,0
Putting the toilet paper roll on so that it hangs under instead of over is a crime worthy of the death penalty,sarcastic,1
Sherlock Sherlock Sherlock Sherlock Sherlock Sherlock,not-sarcastic,0
"Baby, write this down",not-sarcastic,0
"Whoever’s toddler ass sprayed the entire toilet backstage, I hope you stub your toe and bite your tongue really hard. also you were clearly dehydrated, go drink some damn water like an adult",sarcastic,1
its my party and ill shit if i want to,not-sarcastic,0
"There's a gigantic, newly opened, posh box of chocolates in the kitchen at work marked 'for everyone' and now I'm wondering which one of my colleagues got dumped on Valentine's Day",not-sarcastic,0
"How this isn't just Cowboy Bark listed 100000 times, I'll never know. Nevertheless, an A+++ thread https://t.co/QvMsYi124b",not-sarcastic,0
"me: I’m gonna wash my hair and shave my legs! 
Me instead: I’m gonna dissociate in the shower for 45 minutes",not-sarcastic,0
"Oh wow, trolls really have a lot of time on there hands, jeez 🙄 they really don’t like getting banned #twitchtrolls",sarcastic,1
i'm gonna be real i voted weeks ago and i'm lowkey sad i don't get a sticker😞,not-sarcastic,0
I haven’t been to the roxy in a while obviously but DAMN I don’t remember it being this hot in here jesus get some AC,not-sarcastic,0
stop because i just thought of the cutest caption for when i get in a relationship. “i’ve finally found someone to watch stranger things with” 🥺,not-sarcastic,0
"Just watched the very last episode of the office for the first time. Now I'm just sitting here, contemplating life.",not-sarcastic,0
Anyone selling a parklife weekend ticket??,not-sarcastic,0
@raerenyse Easily one of the worst and most damaging takes for both trans AND cis women I have seen thus far. Congrats on reaching new levels of awful lmao,sarcastic,1
I love when you go to shop for plus size clothing and it's always just shoved under women's and it doesn't have any subcategories so u just have to wade thru everything like a pig being thrown slop,sarcastic,1
"if you wear jewelry to the gym, i am afraid of you",not-sarcastic,0
Keep Watching the Skies! UK will be able to see the Space Station and SpaceX rocket this evening 9.30-9.50! Perfect half term timing. https://t.co/vR3MJfHcFA,not-sarcastic,0
This second jab has made me feel off the box this entire day 🤮,not-sarcastic,0
So excited just seen #chitty bang bang car on the road in @huddersfield,not-sarcastic,0
Two goals caused by two awful goalkeepers #Capitalonecup,not-sarcastic,0
10 years today since I left school. I’m in shock 😳,not-sarcastic,0
love how badly i embarrass myself on nights out how iconic X,sarcastic,1
I do like Ssn' s policy of showing the midweek goals as they happen.  Superb Ben Brereton header get in! #NFFC,not-sarcastic,0
Help raise £2000 to help provide food and essentials to disadvantaged child.. Please #donate on @justgiving and RT https://t.co/q7hZ4jWmLl,not-sarcastic,0
Do you think anyone on Bachelor in Paradise has seen Oscar winner Parasite?,sarcastic,1
@sonofsama1 @Santandave1 you’re trash,sarcastic,1
"Yeah I’m following a lot of shows right now, the price is right is pretty good but season 1 is better than season 2",sarcastic,1
Loving season 4 of trump does America. Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020,sarcastic,1
The typhoon flew over me today absolutely fuming they forgot to bomb me,sarcastic,1
Just switched to @octopus_energy 🐙 was with @BulbUK but there monthly payments go up and down like a seesaw and now they want even more money so.. #ByeBye,not-sarcastic,0
how old were u when u found out omaha steaks wasn't a restaurant,not-sarcastic,0
i’m dying,sarcastic,1
"At this time more than most, it is important to celebrate #Pride2020 
No one should ever be afraid to love who they love, or to show it. #Pride",not-sarcastic,0
"Like all humans, I make some decisions that go against the best interests of myself or others. One such decision is sometimes eating too much sugar, another was consuming animal products. I would love the government to nudge me towards better decisions. #NationalFoodStrategy",not-sarcastic,0
I just love when Twitter decides to reload the timeline seconds after you just opened it up and are in the middle of reading it.,sarcastic,1
@LittleBigPlanet Thanks for the update. No need to rush take your time :),not-sarcastic,0
&amp;&amp; If I see one more tweet about someone confusing Joe Budden and Joe Biden I’m really gonna lose it bc the election is around the corner people. Get it togetha (U.S people),not-sarcastic,0
"Rumors of an October lockdown circulating only make me feel like if there is one it's time to A. Consider the government's efforts an utter failure, and B. Start to confront unvaccinated loved ones.",not-sarcastic,0
we happy!!!!!!!!!!,sarcastic,1
"Walking home from work and it’s dark so I’m a bit jumpy. Notice someone following me on the other side of the road so speed up. The follower also speeds up, legged it all the way home and realised that I’m 26 and literally scared of my own shadow 😭",not-sarcastic,0
"What a showing from the whole squad. Champions down, Grealish and Sterling pocketed, no Kane needed, Dreamland. COME ON YOU SPURS #COYS #TOTMCI",not-sarcastic,0
my mom says i need to interact w actual ppl and not just folks online :((( i have no friends irl,not-sarcastic,0
Man PepsiCo loves to add 750g of sugar to a mixture of their existing flavors of sodas and call it a new flavor of dew or Pepsi...,sarcastic,1
Wow it's almost as if it's their literal job to have a lot of knowledge about a wide array of subjects.. Funny that https://t.co/NGi02vXxnK,sarcastic,1
Yo does anyone know how parking spots are assigned for painting??,not-sarcastic,0
Halfway through snowboarding day 1 and pretty sure I have fallen at least 69 times 😆♋️,sarcastic,1
"@Vevo @ArianaGrande @theweeknd @tydollasign I loved them all, but positions made me so emotional! I remember watching ariana use her looping machine on YouTube years ago and it brought back so many memories!! her energy and talent has always been a light in my life!! 💜",not-sarcastic,0
not to alarm anyone but i just saw spider-man by uta,sarcastic,1
who saw new Alan Partridge and VEEP last night? Double dunter of genius comedy! :D,not-sarcastic,0
Well that was humiliating for India. No clouds and yet Anderson still delivers. I expect India to come back hard. #Cricket #INDvENG #ENGvsIND #3rdTest #bbccricket,not-sarcastic,0
a level tudor history can do one,sarcastic,1
"I wish Facebook would introduce a ‘rude’ option on its ‘like’ panel.
I feel ‘wow’ doesn’t cover it. Maybe it could be a middle finger.",not-sarcastic,0
"We are an evolved people.. seriously, can we figure out how to make bathroom doors without a two inch crack so I don’t make eye contact with anyone else while pants-less?",not-sarcastic,0
did anyone else get a notification from @NetflixUK saying american horror story s9 was available but doesn’t show up when you search for it?!,not-sarcastic,0
@Eyeswideopen69 She has kids with him? Whata mistake to make.,not-sarcastic,0
"@kirkkorner ""But it's a deterrent"" 🙄",sarcastic,1
I just wanna lie in bed and eat skips and get paid for it,not-sarcastic,0
Matt Hancock is a top shagger,sarcastic,1
being a head nodder in zoom university is a curse,not-sarcastic,0
does anyone else hate hearing their own voice I sound so aids,not-sarcastic,0
@Jasoneditzz @HiddenLeafrouge @KennethOnlineYT @choc @TheNBACentral @balldontstop Michael Beasley is 32,not-sarcastic,0
@McDonaldsUK Would love a cheeky McDonald’s breakfast before a busy day at work would set the day off on the right foot ! 💓 #FancyAMcDonalds,sarcastic,1
Omg flashbacks to emma blackery girl balls merch and the fact that i spent money on it,not-sarcastic,0
Actually considering applying for the undateables,sarcastic,1
dude that was just in my dms is at the hospital waiting on his kid to be born 💀,not-sarcastic,0
it's all fun and games until the bigot we have been making dumb memes of for the past year is hours away from becoming our next president.,not-sarcastic,0
I finished my MBio in Biomedical science this week and today I found out I’m graduating with a final mark of 77% (distinction)🥳 so proud of myself,not-sarcastic,0
Turning my head away from the ads that play at the gas pumps as a form of protest,not-sarcastic,0
victoria has a crush on maluma,sarcastic,1
City BBQ has the best chicken sandwich. Change my mind.,not-sarcastic,0
"I disturbed a small #wildlife meeting this morning on my short cycle ride: a squirrel, 4 green woodpeckers and a rabbit all hopped, scampered or flew off in different directions as I came past. Like a scene from Snow White or Bambi. 
Felt #blessed to be out (still #shielding).",not-sarcastic,0
"I am not a simulation theorist but the groceries thing fucks me up. I have never seen a neighbor get groceries. I live in a big complex. And I feel like I am getting them constantly. Also, have u ever stayed at somebody’s house? I have to remind people to eat lunch or they won’t.",not-sarcastic,0
Simone Biles is the strongest person I know and I will straight up fight anybody who tries to say something else. Also I would still die for Grace McCallum she is so precious.,not-sarcastic,0
"@SILVERSCASPER @elizableu She was gentle, he wasn’t",not-sarcastic,0
Why are toddlers allowed in public spaces,sarcastic,1
@claire_seiler see you there!,not-sarcastic,0
"His last delivery was 25 MILES from my house! He couldn't stop apologising for something that was definitely not his fault, 6/7 drivers hadn't turned into work because they were celebrating Eid so I'm assuming Safwaan missed most of his Eid celebrations with his family 😞😞😞😞",not-sarcastic,0
"if folding your arms and crossing your arms mean the same thing…

why can’t i say i’m folding my eyes instead of crossing my eyes? 🤔
#iamconfusion",not-sarcastic,0
been in college for 3 weeks and learned that I've been experiencing the educational form of racism my whole life and that im probably dyslexic,not-sarcastic,0
How DARE my friends have jobs/boyfriends/lives they should consider my feelings and be free when I am,sarcastic,1
horseshoe crabs are so sweet and gentle i love them,not-sarcastic,0
"@GriffinGullotti @BovadaOfficial I've withdrawn over 5 figures approaching 6 with no issue 

don't care g",not-sarcastic,0
